Date,Description,Amount,Transaction Type,Category,Account Name,date
01-01-2019,Rent,859.0,debit,Mortgage & Rent,Checking,2019-01-01
01-01-2019,Amazon,14.51,debit,Travel,Credit Card,2019-01-01
01-01-2019,Netflix,12.0,debit,Entertainment,Credit Card,2019-01-01
01-01-2019,Netflix,859.0,debit,Mortgage & Rent,Credit Card,2019-01-01
01-01-2019,Restaurant,12.0,debit,Entertainment,Credit Card,2019-01-01
01-03-2019,Uber,61.66,debit,Bills,Credit Card,2019-01-03
01-03-2019,Netflix,47.09,debit,Shopping,Credit Card,2019-01-03
01-03-2019,Amazon,859.0,debit,Mortgage & Rent,Credit Card,2019-01-03
01-03-2019,Amazon,25.6,debit,Travel,Credit Card,2019-01-03
01-04-2019,Netflix,23.7,debit,Travel,Credit Card,2019-01-04
01-04-2019,Uber,859.0,debit,Mortgage & Rent,Credit Card,2019-01-04
01-04-2019,Credit Transaction,3900.0,credit,Salary,Savings,2019-01-04
01-04-2019,Netflix,55.82,debit,Restaurants,Credit Card,2019-01-04
01-05-2019,Netflix,859.0,debit,Mortgage & Rent,Credit Card,2019-01-05
01-05-2019,Uber,45.26,debit,Shopping,Credit Card,2019-01-05
01-05-2019,Credit Transaction,3900.0,credit,Salary,Savings,2019-01-05
01-05-2019,Amazon,12.0,debit,Entertainment,Credit Card,2019-01-05
01-06-2019,Credit Transaction,16.96,credit,Cashback Rewards,Savings,2019-01-06
01-06-2019,Uber,44.26,debit,Bills,Credit Card,2019-01-06
01-06-2019,Mall,859.0,debit,Mortgage & Rent,Credit Card,2019-01-06
01-06-2019,Credit Transaction,21.82,credit,Cashback Rewards,Savings,2019-01-06
01-06-2019,Amazon,859.0,debit,Mortgage & Rent,Credit Card,2019-01-06
01-06-2019,Restaurant,67.91,debit,Shopping,Credit Card,2019-01-06
01-07-2019,Amazon,54.39,debit,Shopping,Credit Card,2019-01-07
01-07-2019,Netflix,859.0,debit,Mortgage & Rent,Credit Card,2019-01-07
01-07-2019,Credit Transaction,4.73,credit,Cashback Rewards,Savings,2019-01-07
01-07-2019,Credit Transaction,3900.0,credit,Salary,Savings,2019-01-07
01-08-2019,Uber,18.52,debit,Restaurants,Credit Card,2019-01-08
01-08-2019,Uber,20.76,debit,Travel,Credit Card,2019-01-08
01-08-2019,Credit Transaction,3900.0,credit,Salary,Savings,2019-01-08
01-08-2019,Mall,12.3,debit,Travel,Credit Card,2019-01-08
01-09-2019,Uber,63.6,debit,Bills,Credit Card,2019-01-09
01-09-2019,Netflix,15.64,debit,Shopping,Credit Card,2019-01-09
01-09-2019,Netflix,52.01,debit,Shopping,Credit Card,2019-01-09
01-09-2019,Uber,48.91,debit,Bills,Credit Card,2019-01-09
01-10-2019,Netflix,859.0,debit,Mortgage & Rent,Credit Card,2019-01-10
01-10-2019,Uber,859.0,debit,Mortgage & Rent,Credit Card,2019-01-10
01-11-2019,Netflix,59.51,debit,Bills,Credit Card,2019-01-11
01-11-2019,Credit Transaction,73.43,credit,Dividends,Savings,2019-01-11
01-11-2019,Credit Transaction,21.58,credit,Cashback Rewards,Savings,2019-01-11
01-12-2019,Netflix,61.58,debit,Bills,Credit Card,2019-01-12
01-12-2019,Mall,859.0,debit,Mortgage & Rent,Credit Card,2019-01-12
01-12-2019,Mall,22.8,debit,Travel,Credit Card,2019-01-12
01-13-2019,Mall,60.3,debit,Bills,Credit Card,2019-01-13
01-13-2019,Credit Transaction,10.85,credit,Cashback Rewards,Savings,2019-01-13
01-13-2019,Uber,13.08,debit,Travel,Credit Card,2019-01-13
01-13-2019,Netflix,24.29,debit,Travel,Credit Card,2019-01-13
01-13-2019,Uber,859.0,debit,Mortgage & Rent,Credit Card,2019-01-13
01-13-2019,Monthly direct deposit - Salary,3900.0,credit,Salary,Savings,2019-01-13
01-14-2019,Restaurant,23.59,debit,Restaurants,Credit Card,2019-01-14
01-14-2019,Uber,859.0,debit,Mortgage & Rent,Credit Card,2019-01-14
01-15-2019,Uber,24.18,debit,Travel,Credit Card,2019-01-15
01-15-2019,Netflix,74.01,debit,Shopping,Credit Card,2019-01-15
01-15-2019,Netflix,859.0,debit,Mortgage & Rent,Credit Card,2019-01-15
01-15-2019,Amazon,58.85,debit,Bills,Credit Card,2019-01-15
01-15-2019,Credit Transaction,20.71,credit,Cashback Rewards,Savings,2019-01-15
01-16-2019,Mall,859.0,debit,Mortgage & Rent,Credit Card,2019-01-16
01-16-2019,Amazon,55.56,debit,Restaurants,Credit Card,2019-01-16
01-16-2019,Credit Transaction,17.57,credit,Cashback Rewards,Savings,2019-01-16
01-16-2019,Credit Transaction,3900.0,credit,Salary,Savings,2019-01-16
01-18-2019,Netflix,61.19,debit,Shopping,Credit Card,2019-01-18
01-18-2019,Mall,25.73,debit,Travel,Credit Card,2019-01-18
01-18-2019,Uber,56.09,debit,Restaurants,Credit Card,2019-01-18
01-18-2019,Restaurant,52.95,debit,Bills,Credit Card,2019-01-18
01-19-2019,Netflix,63.43,debit,Bills,Credit Card,2019-01-19
01-20-2019,Restaurant,13.66,debit,Travel,Credit Card,2019-01-20
01-20-2019,Credit Transaction,3900.0,credit,Salary,Savings,2019-01-20
01-20-2019,Credit Transaction,3900.0,credit,Salary,Savings,2019-01-20
01-20-2019,Credit Transaction,10.42,credit,Cashback Rewards,Savings,2019-01-20
01-20-2019,Restaurant,28.38,debit,Restaurants,Credit Card,2019-01-20
01-20-2019,Netflix,59.49,debit,Bills,Credit Card,2019-01-20
01-21-2019,Restaurant,45.37,debit,Restaurants,Credit Card,2019-01-21
01-21-2019,Netflix,859.0,debit,Mortgage & Rent,Credit Card,2019-01-21
01-21-2019,Netflix,46.94,debit,Bills,Credit Card,2019-01-21
01-22-2019,Mall,45.95,debit,Bills,Credit Card,2019-01-22
01-22-2019,Amazon,22.22,debit,Restaurants,Credit Card,2019-01-22
01-23-2019,Amazon,859.0,debit,Mortgage & Rent,Credit Card,2019-01-23
01-23-2019,Mall,43.83,debit,Restaurants,Credit Card,2019-01-23
01-23-2019,Restaurant,18.68,debit,Travel,Credit Card,2019-01-23
01-23-2019,Amazon,36.28,debit,Restaurants,Credit Card,2019-01-23
01-23-2019,Netflix,14.73,debit,Travel,Credit Card,2019-01-23
01-24-2019,Uber,15.27,debit,Travel,Credit Card,2019-01-24
01-24-2019,Uber,60.12,debit,Shopping,Credit Card,2019-01-24
01-24-2019,Amazon,48.53,debit,Bills,Credit Card,2019-01-24
01-24-2019,Restaurant,859.0,debit,Mortgage & Rent,Credit Card,2019-01-24
01-24-2019,Uber,37.18,debit,Shopping,Credit Card,2019-01-24
01-24-2019,Credit Transaction,61.35,credit,Dividends,Savings,2019-01-24
01-24-2019,Restaurant,859.0,debit,Mortgage & Rent,Credit Card,2019-01-24
01-24-2019,Restaurant,60.1,debit,Bills,Credit Card,2019-01-24
01-24-2019,Uber,55.56,debit,Shopping,Credit Card,2019-01-24
01-25-2019,Credit Transaction,7.03,credit,Cashback Rewards,Savings,2019-01-25
01-25-2019,Amazon,57.92,debit,Shopping,Credit Card,2019-01-25
01-25-2019,Credit Transaction,3900.0,credit,Salary,Savings,2019-01-25
01-26-2019,Netflix,44.19,debit,Restaurants,Credit Card,2019-01-26
01-27-2019,Restaurant,859.0,debit,Mortgage & Rent,Credit Card,2019-01-27
01-27-2019,Mall,16.02,debit,Travel,Credit Card,2019-01-27
01-27-2019,Amazon,47.89,debit,Shopping,Credit Card,2019-01-27
01-27-2019,Netflix,22.24,debit,Restaurants,Credit Card,2019-01-27
01-28-2019,Credit Transaction,3900.0,credit,Salary,Savings,2019-01-28
01-28-2019,Amazon,60.59,debit,Bills,Credit Card,2019-01-28
01-28-2019,Uber,33.84,debit,Shopping,Credit Card,2019-01-28
01-28-2019,Mall,46.3,debit,Shopping,Credit Card,2019-01-28
01-28-2019,Credit Transaction,96.98,credit,Dividends,Savings,2019-01-28
01-28-2019,Netflix,52.0,debit,Bills,Credit Card,2019-01-28
01-28-2019,Credit Transaction,67.96,credit,Dividends,Savings,2019-01-28
01-28-2019,Uber,57.06,debit,Bills,Credit Card,2019-01-28
02-01-2019,Restaurant,39.05,debit,Bills,Credit Card,2019-02-01
02-01-2019,Rent,858.58,debit,Mortgage & Rent,Checking,2019-02-01
02-01-2019,Restaurant,67.32,debit,Shopping,Credit Card,2019-02-01
02-02-2019,Mall,10.92,debit,Travel,Credit Card,2019-02-02
02-02-2019,Credit Transaction,3900.0,credit,Salary,Savings,2019-02-02
02-03-2019,Uber,53.33,debit,Shopping,Credit Card,2019-02-03
02-03-2019,Netflix,14.69,debit,Entertainment,Credit Card,2019-02-03
02-03-2019,Uber,850.84,debit,Mortgage & Rent,Credit Card,2019-02-03
02-03-2019,Uber,46.5,debit,Bills,Credit Card,2019-02-03
02-04-2019,Amazon,848.35,debit,Mortgage & Rent,Credit Card,2019-02-04
02-04-2019,Amazon,21.39,debit,Entertainment,Credit Card,2019-02-04
02-05-2019,Credit Transaction,8.63,credit,Cashback Rewards,Savings,2019-02-05
02-06-2019,Netflix,849.47,debit,Mortgage & Rent,Credit Card,2019-02-06
02-06-2019,Netflix,11.4,debit,Travel,Credit Card,2019-02-06
02-06-2019,Restaurant,39.05,debit,Bills,Credit Card,2019-02-06
02-07-2019,Restaurant,855.57,debit,Mortgage & Rent,Credit Card,2019-02-07
02-08-2019,Mall,49.65,debit,Bills,Credit Card,2019-02-08
02-08-2019,Amazon,31.0,debit,Shopping,Credit Card,2019-02-08
02-08-2019,Netflix,856.22,debit,Mortgage & Rent,Credit Card,2019-02-08
02-09-2019,Uber,43.27,debit,Bills,Credit Card,2019-02-09
02-09-2019,Netflix,45.75,debit,Bills,Credit Card,2019-02-09
02-09-2019,Credit Transaction,19.69,credit,Cashback Rewards,Savings,2019-02-09
